tweet_count,city,body,date,hashtags,link,geo,tokenized,cleaned,predicted,pos,neg,neu,compound,sentiment
311,New York,"Just woke up still smacked, so Uber eats McDonald’s it is",2020-06-26 08:35:45+00:00,,https://twitter.com/Lastking_Leek/status/1276433960160067584,,"['Just', 'woke', 'up', 'still', 'smacked', ',', 'so', 'Uber', 'eats', 'McDonald', '’', 's', 'it', 'is']","['wake', 'still', 'smack', 'uber', 'eats', 'mcdonald', '’']",Negative,0.0,0.0,1.0,0.0,Positive
312,New York,HOW I ORDER MCDONALDS FROM UBER EATS AND I ONLY GET THE DRINKS 😭😭😭😭😭😭 omg,2020-06-26 03:12:05+00:00,,https://twitter.com/ovoxoo_dandan/status/1276352504490532865,,"['HOW', 'I', 'ORDER', 'MCDONALDS', 'FROM', 'UBER', 'EATS', 'AND', 'I', 'ONLY', 'GET', 'THE', 'DRINKS', '😭😭😭😭😭😭', 'omg']","['order', 'mcdonalds', 'uber', 'eats', 'get', 'drinks', '😭😭😭😭😭😭', 'omg']",Negative,0.0,0.482,0.518,-0.9559,Negative
313,New York,#Thursdays WE ARE OPEN! 12PM-1AM! 🏖SIDEWALK &amp; CURBSIDE DINING TIL 11PM! 🍽FOOD &amp; DRINKS TO GO TIL 1AM! . ✅FIND US ON #UBEREATS &amp; #GRUBHUB OR CALL TO ORDER YOUR #TAKEOUT: 718.835.1000! . #flamingorestaurant… https://www.instagram.com/p/CB35k0IH-Tr/?igshid=1amdnf68s7co4,2020-06-25 21:55:22+00:00,#Thursdays #UBEREATS #GRUBHUB #TAKEOUT #flamingorestaurant,https://twitter.com/FlamingoMantra/status/1276272799640944643,,"['#', 'Thursdays', 'WE', 'ARE', 'OPEN', '!', '12PM-1AM', '!', '🏖SIDEWALK', '&', 'amp', ';', 'CURBSIDE', 'DINING', 'TIL', '11PM', '!', '🍽FOOD', '&', 'amp', ';', 'DRINKS', 'TO', 'GO', 'TIL', '1AM', '!', '.', '✅FIND', 'US', 'ON', '#', 'UBEREATS', '&', 'amp', ';', '#', 'GRUBHUB', 'OR', 'CALL', 'TO', 'ORDER', 'YOUR', '#', 'TAKEOUT', ':', '718.835.1000', '!', '.', '#', 'flamingorestaurant…', 'https', ':', '//www.instagram.com/p/CB35k0IH-Tr/', '?', 'igshid=1amdnf68s7co4']","['thursdays', 'open', '12pm-1am', '🏖sidewalk', 'amp', 'curbside', 'dining', 'til', '11pm', '🍽food', 'amp', 'drinks', 'go', 'til', '1am', '✅find', 'us', 'ubereats', 'amp', 'grubhub', 'call', 'order', 'takeout', '718.835.1000', 'flamingorestaurant…', 'http', '//www.instagram.com/p/cb35k0ih-tr/', 'igshid=1amdnf68s7co4']",Positive,0.0,0.0,1.0,0.0,Positive
314,New York,And postmates is out here lying about spots being blimpies here in the city I got a crappy sandwich,2020-06-25 20:40:05+00:00,,https://twitter.com/Mr_RatedR17/status/1276253853663596545,,"['And', 'postmates', 'is', 'out', 'here', 'lying', 'about', 'spots', 'being', 'blimpies', 'here', 'in', 'the', 'city', 'I', 'got', 'a', 'crappy', 'sandwich']","['postmates', 'lie', 'spot', 'blimpies', 'city', 'get', 'crappy', 'sandwich']",Negative,0.0,0.34,0.66,-0.5574,Negative
315,New York,@ChipotleTweets I wish there was a way to scan receipts for an Uber Eats order so I can get points. Probably should get on that,2020-06-25 19:13:54+00:00,,https://twitter.com/chris_pagan18/status/1276232165903212544,,"['@', 'ChipotleTweets', 'I', 'wish', 'there', 'was', 'a', 'way', 'to', 'scan', 'receipts', 'for', 'an', 'Uber', 'Eats', 'order', 'so', 'I', 'can', 'get', 'points', '.', 'Probably', 'should', 'get', 'on', 'that']","['chipotletweets', 'wish', 'way', 'scan', 'receipt', 'uber', 'eats', 'order', 'get', 'point', 'probably', 'get']",Negative,0.197,0.0,0.803,0.4019,Positive
316,New York,"Open TODAY from 11:30-2:30 on Sussex and Hudson and TONIGHT @TheBeaconJC from 5-8PM. PICK-UP ☎️(551)206-2060 and DELIVERY via UberEats, Grubhub and Seamless #cheesetime #cheesy #mcginleysquare #paulushook #lunchtime… https://www.instagram.com/p/CB3HoHSDN0d/?igshid=i2r7c87me0ao",2020-06-25 14:21:48+00:00,#cheesetime #cheesy #mcginleysquare #paulushook #lunchtime,https://twitter.com/noforksgivennj/status/1276158657890332674,,"['Open', 'TODAY', 'from', '11:30-2:30', 'on', 'Sussex', 'and', 'Hudson', 'and', 'TONIGHT', '@', 'TheBeaconJC', 'from', '5-8PM', '.', 'PICK-UP', '☎️', '(', '551', ')', '206-2060', 'and', 'DELIVERY', 'via', 'UberEats', ',', 'Grubhub', 'and', 'Seamless', '#', 'cheesetime', '#', 'cheesy', '#', 'mcginleysquare', '#', 'paulushook', '#', 'lunchtime…', 'https', ':', '//www.instagram.com/p/CB3HoHSDN0d/', '?', 'igshid=i2r7c87me0ao']","['open', 'today', '11:30-2:30', 'sussex', 'hudson', 'tonight', 'thebeaconjc', '5-8pm', 'pick-up', '☎️', '551', '206-2060', 'delivery', 'via', 'ubereats', 'grubhub', 'seamless', 'cheesetime', 'cheesy', 'mcginleysquare', 'paulushook', 'lunchtime…', 'http', '//www.instagram.com/p/cb3hohsdn0d/', 'igshid=i2r7c87me0ao']",Positive,0.0,0.0,1.0,0.0,Positive
317,New York,Ordered via uber eats but now I’m too tired to wait up for it or eat ... smh,2020-06-25 04:01:04+00:00,,https://twitter.com/IamNoahLove/status/1276002444166737920,,"['Ordered', 'via', 'uber', 'eats', 'but', 'now', 'I', '’', 'm', 'too', 'tired', 'to', 'wait', 'up', 'for', 'it', 'or', 'eat', '...', 'smh']","['ordered', 'via', 'uber', 'eats', '’', 'tire', 'wait', 'eat', '...', 'smh']",Negative,0.0,0.204,0.796,-0.3182,Negative
318,New York,point 'em to ubereats 😂,2020-06-25 00:54:02+00:00,,https://twitter.com/devonthesavage/status/1275955376031240194,,"['point', ""'em"", 'to', 'ubereats', '😂']","['point', ""'em"", 'ubereats', '😂']",Negative,0.299,0.15,0.551,0.4404,Positive
319,New York,Looking forward to the much needed support. Some Good Food will be open Thursday 11am-7pm. Thanks to Sharee for volunteering to deliver food to my seniors #FeedTheSeniors #shoplocal #shopsmall #smallbiz #essexcountynj #openfortakeout #openfordelivery #UberEats #doordash #grubhub – at Some Good Food,2020-06-25 00:47:45+00:00,#FeedTheSeniors #shoplocal #shopsmall #smallbiz #essexcountynj #openfortakeout #openfordelivery #UberEats #doordash #grubhub,https://twitter.com/SomeGoodFood1/status/1275953795986571267,,"['Looking', 'forward', 'to', 'the', 'much', 'needed', 'support', '.', 'Some', 'Good', 'Food', 'will', 'be', 'open', 'Thursday', '11am-7pm', '.', 'Thanks', 'to', 'Sharee', 'for', 'volunteering', 'to', 'deliver', 'food', 'to', 'my', 'seniors', '#', 'FeedTheSeniors', '#', 'shoplocal', '#', 'shopsmall', '#', 'smallbiz', '#', 'essexcountynj', '#', 'openfortakeout', '#', 'openfordelivery', '#', 'UberEats', '#', 'doordash', '#', 'grubhub', '–', 'at', 'Some', 'Good', 'Food']","['looking', 'forward', 'much', 'need', 'support', 'good', 'food', 'open', 'thursday', '11am-7pm', 'thanks', 'sharee', 'volunteer', 'deliver', 'food', 'senior', 'feedtheseniors', 'shoplocal', 'shopsmall', 'smallbiz', 'essexcountynj', 'openfortakeout', 'openfordelivery', 'ubereats', 'doordash', 'grubhub', '–', 'good', 'food']",Positive,0.313,0.0,0.687,0.886,Positive
320,New York,I can delete my Uber eats app. I just bought an Air Fryer,2020-06-24 23:49:49+00:00,,https://twitter.com/FowlinOlisa/status/1275939215566651392,,"['I', 'can', 'delete', 'my', 'Uber', 'eats', 'app', '.', 'I', 'just', 'bought', 'an', 'Air', 'Fryer']","['delete', 'uber', 'eats', 'app', 'buy', 'air', 'fryer']",Negative,0.0,0.0,1.0,0.0,Positive
321,New York,"I received this email from @UberEats for a coupon but when I neede the most they took it off, like reallyyyy.... ",2020-06-24 23:00:52+00:00,,https://twitter.com/piyush_thakur15/status/1275926896153374722,,"['I', 'received', 'this', 'email', 'from', '@', 'UberEats', 'for', 'a', 'coupon', 'but', 'when', 'I', 'neede', 'the', 'most', 'they', 'took', 'it', 'off', ',', 'like', 'reallyyyy', '...', '.']","['receive', 'email', 'ubereats', 'coupon', 'neede', 'take', 'like', 'reallyyyy', '...']",Negative,0.238,0.0,0.762,0.3612,Positive
322,New York,My Uber Eats guy 😍😍😍 ,2020-06-24 20:43:49+00:00,,https://twitter.com/BillyHoward423/status/1275892409080197120,,"['My', 'Uber', 'Eats', 'guy', '😍😍😍']","['uber', 'eats', 'guy', '😍😍😍']",Positive,0.409,0.0,0.591,0.8402,Positive
323,New York,"#supportlocal with some #ubereats delivery 🚚. We also have #outdoordining thats in full effect, tables are sanitized after every use. Cappuccino bubble tea is also back in stock. @Creations Frozen Yogurt https://www.instagram.com/p/CB056qHDocM/?igshid=11dwv19tp26nu",2020-06-24 17:43:30+00:00,#supportlocal #ubereats #outdoordining,https://twitter.com/creationsyogurt/status/1275847029776961537,,"['#', 'supportlocal', 'with', 'some', '#', 'ubereats', 'delivery', '🚚', '.', 'We', 'also', 'have', '#', 'outdoordining', 'thats', 'in', 'full', 'effect', ',', 'tables', 'are', 'sanitized', 'after', 'every', 'use', '.', 'Cappuccino', 'bubble', 'tea', 'is', 'also', 'back', 'in', 'stock', '.', '@', 'Creations', 'Frozen', 'Yogurt', 'https', ':', '//www.instagram.com/p/CB056qHDocM/', '?', 'igshid=11dwv19tp26nu']","['supportlocal', 'ubereats', 'delivery', '🚚', 'also', 'outdoordining', 'thats', 'full', 'effect', 'table', 'sanitize', 'every', 'use', 'cappuccino', 'bubble', 'tea', 'also', 'back', 'stock', 'creations', 'frozen', 'yogurt', 'http', '//www.instagram.com/p/cb056qhdocm/', 'igshid=11dwv19tp26nu']",Positive,0.091,0.0,0.909,0.3818,Positive
324,New York,Imagine you order food and your uber eats person gets in a car accident . Brooo I would be heated 😭,2020-06-24 17:06:02+00:00,,https://twitter.com/BeansMclovin/status/1275837598293004289,,"['Imagine', 'you', 'order', 'food', 'and', 'your', 'uber', 'eats', 'person', 'gets', 'in', 'a', 'car', 'accident', '.', 'Brooo', 'I', 'would', 'be', 'heated', '😭']","['imagine', 'order', 'food', 'uber', 'eats', 'person', 'get', 'car', 'accident', 'brooo', 'would', 'heat', '😭']",Negative,0.0,0.307,0.693,-0.7351,Negative
325,New York,"Summer Pulled Pork 🔥Open TODAY from 11:30-2:30 on Sussex and Hudson and TONIGHT cancolofts on Senate &amp; Dey from 5-8PM. PICK-UP ☎️(551)206-2060 and DELIVERY on UberEats, Grubhub and Seamless #pulledpork #summertime… https://www.instagram.com/p/CB0aFBpjL2F/?igshid=1xixs95pyog3h",2020-06-24 13:05:18+00:00,#pulledpork #summertime,https://twitter.com/noforksgivennj/status/1275777017837912065,,"['Summer', 'Pulled', 'Pork', '🔥Open', 'TODAY', 'from', '11:30-2:30', 'on', 'Sussex', 'and', 'Hudson', 'and', 'TONIGHT', 'cancolofts', 'on', 'Senate', '&', 'amp', ';', 'Dey', 'from', '5-8PM', '.', 'PICK-UP', '☎️', '(', '551', ')', '206-2060', 'and', 'DELIVERY', 'on', 'UberEats', ',', 'Grubhub', 'and', 'Seamless', '#', 'pulledpork', '#', 'summertime…', 'https', ':', '//www.instagram.com/p/CB0aFBpjL2F/', '?', 'igshid=1xixs95pyog3h']","['summer', 'pulled', 'pork', '🔥open', 'today', '11:30-2:30', 'sussex', 'hudson', 'tonight', 'cancolofts', 'senate', 'amp', 'dey', '5-8pm', 'pick-up', '☎️', '551', '206-2060', 'delivery', 'ubereats', 'grubhub', 'seamless', 'pulledpork', 'summertime…', 'http', '//www.instagram.com/p/cb0afbpjl2f/', 'igshid=1xixs95pyog3h']",Positive,0.0,0.0,1.0,0.0,Positive
326,New York,#summerday #tuesday #ubereats 通常運転😗 First ever experience : homemade tsukemen kit by @goramen 🍜… https://www.instagram.com/p/CBzrBFSDD62/?igshid=dgez44snq40z,2020-06-24 06:14:04+00:00,#summerday #tuesday #ubereats,https://twitter.com/tkn921/status/1275673529334235139,,"['#', 'summerday', '#', 'tuesday', '#', 'ubereats', '通常運転😗', 'First', 'ever', 'experience', ':', 'homemade', 'tsukemen', 'kit', 'by', '@', 'goramen', '🍜…', 'https', ':', '//www.instagram.com/p/CBzrBFSDD62/', '?', 'igshid=dgez44snq40z']","['summerday', 'tuesday', 'ubereats', '通常運転😗', 'first', 'ever', 'experience', 'homemade', 'tsukemen', 'kit', 'goramen', '🍜…', 'http', '//www.instagram.com/p/cbzrbfsdd62/', 'igshid=dgez44snq40z']",Positive,0.171,0.0,0.829,0.5719,Positive
327,New York,"Phase 2 it is, outdoor seating available @bricklanecurry eastvillage.resident eastvillageneighbors nyuniversity @nycfoodinsta nyctreats @nycgo @grubhub ubereats @deliverydotcom . . . #bricklanecurry… https://www.instagram.com/p/CBzX4mrnUVg/?igshid=1gsycofgvkncq",2020-06-24 03:26:53+00:00,#bricklanecurry,https://twitter.com/bricklanecurry/status/1275631453137784833,,"['Phase', '2', 'it', 'is', ',', 'outdoor', 'seating', 'available', '@', 'bricklanecurry', 'eastvillage.resident', 'eastvillageneighbors', 'nyuniversity', '@', 'nycfoodinsta', 'nyctreats', '@', 'nycgo', '@', 'grubhub', 'ubereats', '@', 'deliverydotcom', '.', '.', '.', '#', 'bricklanecurry…', 'https', ':', '//www.instagram.com/p/CBzX4mrnUVg/', '?', 'igshid=1gsycofgvkncq']","['phase', '2', 'outdoor', 'seat', 'available', 'bricklanecurry', 'eastvillage.resident', 'eastvillageneighbors', 'nyuniversity', 'nycfoodinsta', 'nyctreats', 'nycgo', 'grubhub', 'ubereats', 'deliverydotcom', 'bricklanecurry…', 'http', '//www.instagram.com/p/cbzx4mrnuvg/', 'igshid=1gsycofgvkncq']",Positive,0.0,0.0,1.0,0.0,Positive
328,New York,Fuck seamless and Uber eats. They take such a large cut of an order that restaurants can’t make enough money to stay in business. Call restaurants and order directly. 😉,2020-06-24 02:23:36+00:00,,https://twitter.com/jc_mud_sidewalk/status/1275615529944956931,,"['Fuck', 'seamless', 'and', 'Uber', 'eats', '.', 'They', 'take', 'such', 'a', 'large', 'cut', 'of', 'an', 'order', 'that', 'restaurants', 'can', '’', 't', 'make', 'enough', 'money', 'to', 'stay', 'in', 'business', '.', 'Call', 'restaurants', 'and', 'order', 'directly', '.', '😉']","['fuck', 'seamless', 'uber', 'eats', 'take', 'large', 'cut', 'order', 'restaurant', '’', 'make', 'enough', 'money', 'stay', 'business', 'call', 'restaurant', 'order', 'directly', '😉']",Negative,0.0,0.219,0.781,-0.6808,Negative
329,New York,I ain’t gon lie I deleted Uber and Uber eats last night because I saw something sus when I was up in the Bronx I was paying more up there than in GRAMERCY ,2020-06-24 01:53:32+00:00,,https://twitter.com/JordanisSapuis/status/1275607960224440323,,"['I', 'ain', '’', 't', 'gon', 'lie', 'I', 'deleted', 'Uber', 'and', 'Uber', 'eats', 'last', 'night', 'because', 'I', 'saw', 'something', 'sus', 'when', 'I', 'was', 'up', 'in', 'the', 'Bronx', 'I', 'was', 'paying', 'more', 'up', 'there', 'than', 'in', 'GRAMERCY']","['’', 'gon', 'lie', 'delete', 'uber', 'uber', 'eats', 'last', 'night', 'saw', 'something', 'sus', 'bronx', 'pay', 'gramercy']",Negative,0.0,0.091,0.909,-0.1027,Negative
330,New York,JUST saw that video of the cop crying about a McMuffin and all I can think of is the time I waited an hour and a half for my Ubereats order at McDs and my driver called me saying he almost threw hands because they refused to make my tenders because it was 2 am and breakfast hrs,2020-06-24 01:35:08+00:00,,https://twitter.com/Joselinshitpost/status/1275603333701664768,,"['JUST', 'saw', 'that', 'video', 'of', 'the', 'cop', 'crying', 'about', 'a', 'McMuffin', 'and', 'all', 'I', 'can', 'think', 'of', 'is', 'the', 'time', 'I', 'waited', 'an', 'hour', 'and', 'a', 'half', 'for', 'my', 'Ubereats', 'order', 'at', 'McDs', 'and', 'my', 'driver', 'called', 'me', 'saying', 'he', 'almost', 'threw', 'hands', 'because', 'they', 'refused', 'to', 'make', 'my', 'tenders', 'because', 'it', 'was', '2', 'am', 'and', 'breakfast', 'hrs']","['saw', 'video', 'cop', 'cry', 'mcmuffin', 'think', 'time', 'wait', 'hour', 'half', 'ubereats', 'order', 'mcds', 'driver', 'call', 'say', 'almost', 'throw', 'hand', 'refuse', 'make', 'tender', '2', 'breakfast', 'hr']",Negative,0.098,0.168,0.734,-0.2766,Negative
331,New York,@UberEats I never asked that my order be combined with someone else’s so I can cut down on delivery fees. Now my food is going to be cold when it arrives. Run me my refund,2020-06-23 23:05:16+00:00,,https://twitter.com/faithfrmbk/status/1275565617987321856,,"['@', 'UberEats', 'I', 'never', 'asked', 'that', 'my', 'order', 'be', 'combined', 'with', 'someone', 'else', '’', 's', 'so', 'I', 'can', 'cut', 'down', 'on', 'delivery', 'fees', '.', 'Now', 'my', 'food', 'is', 'going', 'to', 'be', 'cold', 'when', 'it', 'arrives', '.', 'Run', 'me', 'my', 'refund']","['ubereats', 'never', 'ask', 'order', 'combine', 'someone', 'else', '’', 'cut', 'delivery', 'fee', 'food', 'go', 'cold', 'arrive', 'run', 'refund']",Negative,0.0,0.116,0.884,-0.2732,Negative
332,New York,It’s official im@team @Seamless Never had a issue and it’s seamless . @UberEats I have a issue every time . #countyafuckingdays,2020-06-23 22:58:54+00:00,#countyafuckingdays,https://twitter.com/shalimardavis/status/1275564013796147201,,"['It', '’', 's', 'official', 'im', '@', 'team', '@', 'Seamless', 'Never', 'had', 'a', 'issue', 'and', 'it', '’', 's', 'seamless', '.', '@', 'UberEats', 'I', 'have', 'a', 'issue', 'every', 'time', '.', '#', 'countyafuckingdays']","['’', 'official', 'im', 'team', 'seamless', 'never', 'issue', '’', 'seamless', 'ubereats', 'issue', 'every', 'time', 'countyafuckingdays']",Negative,0.0,0.0,1.0,0.0,Positive
333,New York,3rd times a charm !! @UberEats count your days this the 3rd time I ordered from you and every time something is wrong with my order . #horrible,2020-06-23 22:38:22+00:00,#horrible,https://twitter.com/shalimardavis/status/1275558845969039360,,"['3rd', 'times', 'a', 'charm', '!', '!', '@', 'UberEats', 'count', 'your', 'days', 'this', 'the', '3rd', 'time', 'I', 'ordered', 'from', 'you', 'and', 'every', 'time', 'something', 'is', 'wrong', 'with', 'my', 'order', '.', '#', 'horrible']","['3rd', 'time', 'charm', 'ubereats', 'count', 'day', '3rd', 'time', 'order', 'every', 'time', 'something', 'wrong', 'order', 'horrible']",Negative,0.127,0.31,0.563,-0.5994,Negative
334,New York,I be deleting the uber eats app off my phone just to download it again 6 hours later.,2020-06-23 21:59:12+00:00,,https://twitter.com/TAPHARI_/status/1275548990596100098,,"['I', 'be', 'deleting', 'the', 'uber', 'eats', 'app', 'off', 'my', 'phone', 'just', 'to', 'download', 'it', 'again', '6', 'hours', 'later', '.']","['delete', 'uber', 'eats', 'app', 'phone', 'download', '6', 'hour', 'late']",Negative,0.0,0.0,1.0,0.0,Positive
335,New York,Thank goodness 4 UBER eats!!,2020-06-23 21:58:35+00:00,,https://twitter.com/MiddlefingerU/status/1275548834693857282,,"['Thank', 'goodness', '4', 'UBER', 'eats', '!', '!']","['thank', 'goodness', '4', 'uber', 'eats']",Negative,0.647,0.0,0.353,0.6705,Positive
336,New York,#wethebest #2ndtonone #abbys #cheffstreetz #thelunchclub #abbysthesandwichspecialist #bestsandwichesinthestate #njsandwiches #ubereats #wedeliver 👍🏾 or #Pullup 🚘 cheffstrtz @Abby's Deli &amp; Take Out https://www.instagram.com/p/CByvyLWF3El/?igshid=1wfzj29zkf5tf,2020-06-23 21:37:20+00:00,#wethebest #2ndtonone #abbys #cheffstreetz #thelunchclub #abbysthesandwichspecialist #bestsandwichesinthestate #njsandwiches #ubereats #wedeliver #Pullup,https://twitter.com/ThaReal_Streetz/status/1275543486587158528,,"['#', 'wethebest', '#', '2ndtonone', '#', 'abbys', '#', 'cheffstreetz', '#', 'thelunchclub', '#', 'abbysthesandwichspecialist', '#', 'bestsandwichesinthestate', '#', 'njsandwiches', '#', 'ubereats', '#', 'wedeliver', '👍🏾', 'or', '#', 'Pullup', '🚘', 'cheffstrtz', '@', 'Abby', ""'s"", 'Deli', '&', 'amp', ';', 'Take', 'Out', 'https', ':', '//www.instagram.com/p/CByvyLWF3El/', '?', 'igshid=1wfzj29zkf5tf']","['wethebest', '2ndtonone', 'abbys', 'cheffstreetz', 'thelunchclub', 'abbysthesandwichspecialist', 'bestsandwichesinthestate', 'njsandwiches', 'ubereats', 'wedeliver', '👍🏾', 'pullup', '🚘', 'cheffstrtz', 'abby', ""'s"", 'deli', 'amp', 'take', 'http', '//www.instagram.com/p/cbyvylwf3el/', 'igshid=1wfzj29zkf5tf']",Negative,0.0,0.0,1.0,0.0,Positive
337,New York,"VOTE... because if you don’t, we all might starve! . . . #vote2020 #vote #love #comics #dailyloveguide #dinner #brooklyn #ubereats #nyc #relationships #dating #cooking @New York, New York https://www.instagram.com/p/CBylTEggosH/?igshid=fwszput0ti4g",2020-06-23 20:04:51+00:00,#vote2020 #vote #love #comics #dailyloveguide #dinner #brooklyn #ubereats #nyc #relationships #dating #cooking,https://twitter.com/BumBumJones/status/1275520215078617092,,"['VOTE', '...', 'because', 'if', 'you', 'don', '’', 't', ',', 'we', 'all', 'might', 'starve', '!', '.', '.', '.', '#', 'vote2020', '#', 'vote', '#', 'love', '#', 'comics', '#', 'dailyloveguide', '#', 'dinner', '#', 'brooklyn', '#', 'ubereats', '#', 'nyc', '#', 'relationships', '#', 'dating', '#', 'cooking', '@', 'New', 'York', ',', 'New', 'York', 'https', ':', '//www.instagram.com/p/CBylTEggosH/', '?', 'igshid=fwszput0ti4g']","['vote', '...', '’', 'might', 'starve', 'vote2020', 'vote', 'love', 'comic', 'dailyloveguide', 'dinner', 'brooklyn', 'ubereats', 'nyc', 'relationship', 'date', 'cook', 'new', 'york', 'new', 'york', 'http', '//www.instagram.com/p/cbylteggosh/', 'igshid=fwszput0ti4g']",Negative,0.144,0.1,0.756,0.3182,Positive
338,New York,this free uber eats x shake shack hoodie that is being sent to me is so funny like WHEN will i ever wear this ,2020-06-23 19:55:09+00:00,,https://twitter.com/puddingducky/status/1275517773939171329,,"['this', 'free', 'uber', 'eats', 'x', 'shake', 'shack', 'hoodie', 'that', 'is', 'being', 'sent', 'to', 'me', 'is', 'so', 'funny', 'like', 'WHEN', 'will', 'i', 'ever', 'wear', 'this']","['free', 'uber', 'eats', 'x', 'shake', 'shack', 'hoodie', 'send', 'funny', 'like', 'ever', 'wear']",Negative,0.466,0.105,0.429,0.7741,Positive
339,New York,Uber eats is getting no money from me the next two weeks. I bought way too many new groceries to be tempted lol 🤧,2020-06-23 19:54:59+00:00,,https://twitter.com/liagibarehtse/status/1275517731664793602,,"['Uber', 'eats', 'is', 'getting', 'no', 'money', 'from', 'me', 'the', 'next', 'two', 'weeks', '.', 'I', 'bought', 'way', 'too', 'many', 'new', 'groceries', 'to', 'be', 'tempted', 'lol', '🤧']","['uber', 'eats', 'get', 'money', 'next', 'two', 'week', 'buy', 'way', 'many', 'new', 'grocery', 'tempt', 'lol', '🤧']",Negative,0.149,0.0,0.851,0.4215,Positive
340,New York,Omg Wendy’s does uber eats now too. That place is already a shitshow w hour long waits and they only do seamless and doordash 🤦‍♀️,2020-06-23 19:23:24+00:00,,https://twitter.com/waterblocknyc/status/1275509781785186306,,"['Omg', 'Wendy', '’', 's', 'does', 'uber', 'eats', 'now', 'too', '.', 'That', 'place', 'is', 'already', 'a', 'shitshow', 'w', 'hour', 'long', 'waits', 'and', 'they', 'only', 'do', 'seamless', 'and', 'doordash', '🤦\u200d♀️']","['omg', 'wendy', '’', 'uber', 'eats', 'place', 'already', 'shitshow', 'w', 'hour', 'long', 'wait', 'seamless', 'doordash', '🤦\u200d♀️']",Negative,0.0,0.0,1.0,0.0,Positive
341,New York,"Lmaoooo girl with Uber eats prices this is for two days...but nah it’s only for the day, he told me buy Jonah and my mom drinks too 😭",2020-06-23 11:51:21+00:00,,https://twitter.com/LivKristen/status/1275396020340482049,,"['Lmaoooo', 'girl', 'with', 'Uber', 'eats', 'prices', 'this', 'is', 'for', 'two', 'days', '...', 'but', 'nah', 'it', '’', 's', 'only', 'for', 'the', 'day', ',', 'he', 'told', 'me', 'buy', 'Jonah', 'and', 'my', 'mom', 'drinks', 'too', '😭']","['lmaoooo', 'girl', 'uber', 'eats', 'price', 'two', 'day', '...', 'nah', '’', 'day', 'tell', 'buy', 'jonah', 'mom', 'drink', '😭']",Negative,0.0,0.2,0.8,-0.5423,Negative
342,New York,#summerday #thursday #ubereats 通常運転😗 Noodle 🍝meets beef 🐮=summer beef cold noodle 🍜 焼肉と麺好きには一石二鳥の夏メニュー。 牛夏麺。 NYの2nd phase opening… https://www.instagram.com/p/CBw_32ijn2J/?igshid=1e7pjk5x2jxrw,2020-06-23 05:18:35+00:00,#summerday #thursday #ubereats,https://twitter.com/tkn921/status/1275297176139284491,,"['#', 'summerday', '#', 'thursday', '#', 'ubereats', '通常運転😗', 'Noodle', '🍝meets', 'beef', '🐮=summer', 'beef', 'cold', 'noodle', '🍜', '焼肉と麺好きには一石二鳥の夏メニュー。', '牛夏麺。', 'NYの2nd', 'phase', 'opening…', 'https', ':', '//www.instagram.com/p/CBw_32ijn2J/', '?', 'igshid=1e7pjk5x2jxrw']","['summerday', 'thursday', 'ubereats', '通常運転😗', 'noodle', '🍝meets', 'beef', '🐮=summer', 'beef', 'cold', 'noodle', '🍜', '焼肉と麺好きには一石二鳥の夏メニュー。', '牛夏麺。', 'nyの2nd', 'phase', 'opening…', 'http', '//www.instagram.com/p/cbw_32ijn2j/', 'igshid=1e7pjk5x2jxrw']",Negative,0.125,0.0,0.875,0.5719,Positive
343,New York,"Being vegan is an expensive scam. Uber eats is a scam, America as a whole is a scam right now. Argue with your loan officers",2020-06-23 02:34:43+00:00,,https://twitter.com/daviskoresh/status/1275255940011491329,,"['Being', 'vegan', 'is', 'an', 'expensive', 'scam', '.', 'Uber', 'eats', 'is', 'a', 'scam', ',', 'America', 'as', 'a', 'whole', 'is', 'a', 'scam', 'right', 'now', '.', 'Argue', 'with', 'your', 'loan', 'officers']","['vegan', 'expensive', 'scam', 'uber', 'eats', 'scam', 'america', 'whole', 'scam', 'right', 'argue', 'loan', 'officer']",Negative,0.0,0.605,0.395,-0.9297,Negative
344,New York,Uber Eats Popeyes &amp; no regrets 🤤,2020-06-23 01:29:43+00:00,,https://twitter.com/cocacolasavage/status/1275239579738570757,,"['Uber', 'Eats', 'Popeyes', '&', 'amp', ';', 'no', 'regrets', '🤤']","['uber', 'eats', 'popeyes', 'amp', 'regret', '🤤']",Negative,0.0,0.286,0.714,-0.4215,Negative
