tweet_count,city,body,date,hashtags,link,geo,tokenized,lematized,tweets_str,cleaned
438,New York,"I should have never been introduced to Drizly, UberEats, &amp; DoorDash. Spent $800 in the last month between them. 😫",2020-07-10 01:08:42+00:00,,https://twitter.com/David_LBTH/status/1281394883585028097,,"['I', 'should', 'have', 'never', 'been', 'introduced', 'to', 'Drizly', ',', 'UberEats', ',', '&', 'amp', ';', 'DoorDash', '.', 'Spent', '$', '800', 'in', 'the', 'last', 'month', 'between', 'them', '.', '😫']","['I', 'should', 'have', 'never', 'be', 'introduce', 'to', 'Drizly', ',', 'UberEats', ',', '&', 'amp', ';', 'DoorDash', '.', 'Spent', '$', '800', 'in', 'the', 'last', 'month', 'between', 'them', '.', '😫']","I,should,have,never,be,introduce,to,Drizly,,,UberEats,,,&,amp,;,DoorDash,.,Spent,$,800,in,the,last,month,between,them,.,😫","I,,,never,,introduce,,Drizly,,,UberEats,,,&,amp,;,DoorDash,.,Spent,$,800,,,last,month,,,.,😫"
439,New York,@UberEats do you guys have a customer service number?,2020-07-10 01:08:18+00:00,,https://twitter.com/PosterBoyDru/status/1281394783810985984,,"['@', 'UberEats', 'do', 'you', 'guys', 'have', 'a', 'customer', 'service', 'number', '?']","['@', 'UberEats', 'do', 'you', 'guy', 'have', 'a', 'customer', 'service', 'number', '?']","@,UberEats,do,you,guy,have,a,customer,service,number,?","@,UberEats,,,guy,,,customer,service,number,?"
440,New York,me: why am i fat and poor? also me: orders uber eats all the time 🥴🥴😂,2020-07-10 00:57:52+00:00,,https://twitter.com/katiedelikat/status/1281392159535575043,,"['me', ':', 'why', 'am', 'i', 'fat', 'and', 'poor', '?', 'also', 'me', ':', 'orders', 'uber', 'eats', 'all', 'the', 'time', '🥴🥴😂']","['me', ':', 'why', 'be', 'i', 'fat', 'and', 'poor', '?', 'also', 'me', ':', 'order', 'uber', 'eats', 'all', 'the', 'time', '🥴🥴😂']","me,:,why,be,i,fat,and,poor,?,also,me,:,order,uber,eats,all,the,time,🥴🥴😂",",:,,,,fat,,poor,?,also,,:,order,uber,eats,,,time,🥴🥴😂"
441,New York,"Ordered a burrito on ubereats and the store sent me two. This is why I pray every night, cause sometimes god gives you a free burrito. Truly blessed.",2020-07-10 00:51:50+00:00,,https://twitter.com/bryanvaquerano/status/1281390641549901824,,"['Ordered', 'a', 'burrito', 'on', 'ubereats', 'and', 'the', 'store', 'sent', 'me', 'two', '.', 'This', 'is', 'why', 'I', 'pray', 'every', 'night', ',', 'cause', 'sometimes', 'god', 'gives', 'you', 'a', 'free', 'burrito', '.', 'Truly', 'blessed', '.']","['Ordered', 'a', 'burrito', 'on', 'ubereats', 'and', 'the', 'store', 'send', 'me', 'two', '.', 'This', 'be', 'why', 'I', 'pray', 'every', 'night', ',', 'cause', 'sometimes', 'god', 'give', 'you', 'a', 'free', 'burrito', '.', 'Truly', 'bless', '.']","Ordered,a,burrito,on,ubereats,and,the,store,send,me,two,.,This,be,why,I,pray,every,night,,,cause,sometimes,god,give,you,a,free,burrito,.,Truly,bless,.","Ordered,,burrito,,ubereats,,,store,send,,two,.,This,,,I,pray,every,night,,,cause,sometimes,god,give,,,free,burrito,.,Truly,bless,."
442,New York,Na you got the delivery man walking ????? WHATS GOING ON UBER EATS 😳 ,2020-07-10 00:08:46+00:00,,https://twitter.com/1riotusa/status/1281379801958318087,,"['Na', 'you', 'got', 'the', 'delivery', 'man', 'walking', '?', '?', '?', '?', '?', 'WHATS', 'GOING', 'ON', 'UBER', 'EATS', '😳']","['Na', 'you', 'get', 'the', 'delivery', 'man', 'walk', '?', '?', '?', '?', '?', 'WHATS', 'GOING', 'ON', 'UBER', 'EATS', '😳']","Na,you,get,the,delivery,man,walk,?,?,?,?,?,WHATS,GOING,ON,UBER,EATS,😳","Na,,get,,delivery,man,walk,?,?,?,?,?,WHATS,GOING,ON,UBER,EATS,😳"
443,New York,"Im banned from Uber, Uber eats, dominos , door dash , and post mates 😂😂",2020-07-09 23:58:16+00:00,,https://twitter.com/RobGz14/status/1281377160800997377,,"['Im', 'banned', 'from', 'Uber', ',', 'Uber', 'eats', ',', 'dominos', ',', 'door', 'dash', ',', 'and', 'post', 'mates', '😂😂']","['Im', 'ban', 'from', 'Uber', ',', 'Uber', 'eat', ',', 'domino', ',', 'door', 'dash', ',', 'and', 'post', 'mate', '😂😂']","Im,ban,from,Uber,,,Uber,eat,,,domino,,,door,dash,,,and,post,mate,😂😂","Im,ban,,Uber,,,Uber,eat,,,domino,,,door,dash,,,,post,mate,😂😂"
444,New York,@UberEats you fucking SUCK,2020-07-09 23:01:51+00:00,,https://twitter.com/DomT_88/status/1281362963669159936,,"['@', 'UberEats', 'you', 'fucking', 'SUCK']","['@', 'UberEats', 'you', 'fuck', 'SUCK']","@,UberEats,you,fuck,SUCK","@,UberEats,,fuck,SUCK"
445,New York,Is ordering iHop on Uber Eats wrong? Just wondering.,2020-07-09 22:52:18+00:00,,https://twitter.com/p_diddybop/status/1281360558827200518,,"['Is', 'ordering', 'iHop', 'on', 'Uber', 'Eats', 'wrong', '?', 'Just', 'wondering', '.']","['Is', 'order', 'iHop', 'on', 'Uber', 'Eats', 'wrong', '?', 'Just', 'wonder', '.']","Is,order,iHop,on,Uber,Eats,wrong,?,Just,wonder,.","Is,order,iHop,,Uber,Eats,wrong,?,Just,wonder,."
446,New York,Hungry? Get 25% off (up to $7) your first 2 Uber Eats orders. Terms apply. Use my code at checkout: eats-lorid591ue http://ubr.to/EatsGiveGet,2020-07-09 22:47:01+00:00,,https://twitter.com/freelylo/status/1281359229694115840,,"['Hungry', '?', 'Get', '25', '%', 'off', '(', 'up', 'to', '$', '7', ')', 'your', 'first', '2', 'Uber', 'Eats', 'orders', '.', 'Terms', 'apply', '.', 'Use', 'my', 'code', 'at', 'checkout', ':', 'eats-lorid591ue', 'http', ':', '//ubr.to/EatsGiveGet']","['Hungry', '?', 'Get', '25', '%', 'off', '(', 'up', 'to', '$', '7', ')', 'your', 'first', '2', 'Uber', 'Eats', 'order', '.', 'Terms', 'apply', '.', 'Use', 'my', 'code', 'at', 'checkout', ':', 'eats-lorid591ue', 'http', ':', '//ubr.to/EatsGiveGet']","Hungry,?,Get,25,%,off,(,up,to,$,7,),your,first,2,Uber,Eats,order,.,Terms,apply,.,Use,my,code,at,checkout,:,eats-lorid591ue,http,:,//ubr.to/EatsGiveGet","Hungry,?,Get,25,%,,(,,,$,7,),,first,2,Uber,Eats,order,.,Terms,apply,.,Use,,code,,checkout,:,eats-lorid591ue,http,:,//ubr./EatsGiveGet"
447,New York,"I was doing so good being healthy today y’all. Then what I do, Uber eats some cold stone 😭 in love It size at that smh.",2020-07-09 22:44:46+00:00,,https://twitter.com/JayRobynn/status/1281358664406835202,,"['I', 'was', 'doing', 'so', 'good', 'being', 'healthy', 'today', 'y', '’', 'all', '.', 'Then', 'what', 'I', 'do', ',', 'Uber', 'eats', 'some', 'cold', 'stone', '😭', 'in', 'love', 'It', 'size', 'at', 'that', 'smh', '.']","['I', 'be', 'do', 'so', 'good', 'be', 'healthy', 'today', 'y', '’', 'all', '.', 'Then', 'what', 'I', 'do', ',', 'Uber', 'eat', 'some', 'cold', 'stone', '😭', 'in', 'love', 'It', 'size', 'at', 'that', 'smh', '.']","I,be,do,so,good,be,healthy,today,y,’,all,.,Then,what,I,do,,,Uber,eat,some,cold,stone,😭,in,love,It,size,at,that,smh,.","I,,,,good,,healthy,today,,’,,.,Then,,I,,,,Uber,eat,,cold,stone,😭,,love,It,size,,,smh,."
448,New York,How the fuck did i just order food off of @DoorDash yet ended up with someone’s order from Uber Eats?,2020-07-09 22:24:28+00:00,,https://twitter.com/kay_0oh/status/1281353556604452864,,"['How', 'the', 'fuck', 'did', 'i', 'just', 'order', 'food', 'off', 'of', '@', 'DoorDash', 'yet', 'ended', 'up', 'with', 'someone', '’', 's', 'order', 'from', 'Uber', 'Eats', '?']","['How', 'the', 'fuck', 'do', 'i', 'just', 'order', 'food', 'off', 'of', '@', 'DoorDash', 'yet', 'end', 'up', 'with', 'someone', '’', 's', 'order', 'from', 'Uber', 'Eats', '?']","How,the,fuck,do,i,just,order,food,off,of,@,DoorDash,yet,end,up,with,someone,’,s,order,from,Uber,Eats,?","How,,fuck,,,,order,food,,,@,DoorDash,yet,end,,,someone,’,,order,,Uber,Eats,?"
449,New York,I gotchu 🤪 if I could Ubereats it to you I would,2020-07-09 22:06:56+00:00,,https://twitter.com/poojashiness/status/1281349143626121217,,"['I', 'gotchu', '🤪', 'if', 'I', 'could', 'Ubereats', 'it', 'to', 'you', 'I', 'would']","['I', 'gotchu', '🤪', 'if', 'I', 'could', 'Ubereats', 'it', 'to', 'you', 'I', 'would']","I,gotchu,🤪,if,I,could,Ubereats,it,to,you,I,would","I,gotchu,🤪,,I,could,Ubereats,,,,I,would"
450,New York,@UberEats is back at it again with the terrible service. I am having a problem with an order and the app is once AGAIN useless!!! I would like someone to contact me and give me a refund.,2020-07-09 22:00:47+00:00,,https://twitter.com/SoThisIsLifeeee/status/1281347595605094401,,"['@', 'UberEats', 'is', 'back', 'at', 'it', 'again', 'with', 'the', 'terrible', 'service', '.', 'I', 'am', 'having', 'a', 'problem', 'with', 'an', 'order', 'and', 'the', 'app', 'is', 'once', 'AGAIN', 'useless', '!', '!', '!', 'I', 'would', 'like', 'someone', 'to', 'contact', 'me', 'and', 'give', 'me', 'a', 'refund', '.']","['@', 'UberEats', 'be', 'back', 'at', 'it', 'again', 'with', 'the', 'terrible', 'service', '.', 'I', 'be', 'have', 'a', 'problem', 'with', 'an', 'order', 'and', 'the', 'app', 'be', 'once', 'AGAIN', 'useless', '!', '!', '!', 'I', 'would', 'like', 'someone', 'to', 'contact', 'me', 'and', 'give', 'me', 'a', 'refund', '.']","@,UberEats,be,back,at,it,again,with,the,terrible,service,.,I,be,have,a,problem,with,an,order,and,the,app,be,once,AGAIN,useless,!,!,!,I,would,like,someone,to,contact,me,and,give,me,a,refund,.","@,UberEats,,back,,,,,,terrible,service,.,I,,,,problem,,,order,,,app,,,AGAIN,useless,!,!,!,I,would,like,someone,,contact,,,give,,,refund,."
451,New York,Wonder if @UberEats is verifying if these restaurants are actually black owned restaurants. @Uber_Support,2020-07-09 21:38:03+00:00,,https://twitter.com/soulbran_/status/1281341872519217153,,"['Wonder', 'if', '@', 'UberEats', 'is', 'verifying', 'if', 'these', 'restaurants', 'are', 'actually', 'black', 'owned', 'restaurants', '.', '@', 'Uber_Support']","['Wonder', 'if', '@', 'UberEats', 'be', 'verify', 'if', 'these', 'restaurant', 'be', 'actually', 'black', 'owned', 'restaurant', '.', '@', 'Uber_Support']","Wonder,if,@,UberEats,be,verify,if,these,restaurant,be,actually,black,owned,restaurant,.,@,Uber_Support","Wonder,,@,UberEats,,verify,,,restaurant,,actually,black,owned,restaurant,.,@,Uber_Support"
452,New York,Pedi um lanche na uber eats,2020-07-09 21:31:34+00:00,,https://twitter.com/CRF_Alan/status/1281340243501867008,,"['Pedi', 'um', 'lanche', 'na', 'uber', 'eats']","['Pedi', 'um', 'lanche', 'na', 'uber', 'eats']","Pedi,um,lanche,na,uber,eats","Pedi,um,lanche,na,uber,eats"
453,New York,#MSBA Prof @digitalarun discusses how digital platforms helped support restaurants during #coronavirus in his new co-authored research with Uber Eats. Read more here: https://bit.ly/3eg35Gq,2020-07-09 21:20:01+00:00,#MSBA #coronavirus,https://twitter.com/NYUSternMSBA/status/1281337337142816768,,"['#', 'MSBA', 'Prof', '@', 'digitalarun', 'discusses', 'how', 'digital', 'platforms', 'helped', 'support', 'restaurants', 'during', '#', 'coronavirus', 'in', 'his', 'new', 'co-authored', 'research', 'with', 'Uber', 'Eats', '.', 'Read', 'more', 'here', ':', 'https', ':', '//bit.ly/3eg35Gq']","['#', 'MSBA', 'Prof', '@', 'digitalarun', 'discuss', 'how', 'digital', 'platform', 'help', 'support', 'restaurant', 'during', '#', 'coronavirus', 'in', 'his', 'new', 'co-authored', 'research', 'with', 'Uber', 'Eats', '.', 'Read', 'more', 'here', ':', 'http', ':', '//bit.ly/3eg35Gq']","#,MSBA,Prof,@,digitalarun,discuss,how,digital,platform,help,support,restaurant,during,#,coronavirus,in,his,new,co-authored,research,with,Uber,Eats,.,Read,more,here,:,http,:,//bit.ly/3eg35Gq","#,MSBA,Prof,@,digitalarun,discuss,,digital,platform,help,support,restaurant,,#,coronavirus,,,new,co-authored,research,,Uber,Eats,.,Read,,,:,http,:,//bit.ly/3eg35Gq"
454,New York,Hungry? Get $7 off your first Uber Eats order. Terms apply. Use my code at checkout: eats-kathym7492ue http://ubr.to/EatsGiveGet,2020-07-09 21:14:41+00:00,,https://twitter.com/PlatKat402/status/1281335991161298945,,"['Hungry', '?', 'Get', '$', '7', 'off', 'your', 'first', 'Uber', 'Eats', 'order', '.', 'Terms', 'apply', '.', 'Use', 'my', 'code', 'at', 'checkout', ':', 'eats-kathym7492ue', 'http', ':', '//ubr.to/EatsGiveGet']","['Hungry', '?', 'Get', '$', '7', 'off', 'your', 'first', 'Uber', 'Eats', 'order', '.', 'Terms', 'apply', '.', 'Use', 'my', 'code', 'at', 'checkout', ':', 'eats-kathym7492ue', 'http', ':', '//ubr.to/EatsGiveGet']","Hungry,?,Get,$,7,off,your,first,Uber,Eats,order,.,Terms,apply,.,Use,my,code,at,checkout,:,eats-kathym7492ue,http,:,//ubr.to/EatsGiveGet","Hungry,?,Get,$,7,,,first,Uber,Eats,order,.,Terms,apply,.,Use,,code,,checkout,:,eats-kathym7492ue,http,:,//ubr./EatsGiveGet"
455,New York,RT paulbarron: Why we need to talk about Delivery and why ubereats is NOT the answer for restaurants karaswisher and the #dog profgalloway,2020-07-09 20:54:17+00:00,#dog,https://twitter.com/foodedge/status/1281330859866558465,,"['RT', 'paulbarron', ':', 'Why', 'we', 'need', 'to', 'talk', 'about', 'Delivery', 'and', 'why', 'ubereats', 'is', 'NOT', 'the', 'answer', 'for', 'restaurants', 'karaswisher', 'and', 'the', '#', 'dog', 'profgalloway']","['RT', 'paulbarron', ':', 'Why', 'we', 'need', 'to', 'talk', 'about', 'Delivery', 'and', 'why', 'ubereats', 'be', 'NOT', 'the', 'answer', 'for', 'restaurant', 'karaswisher', 'and', 'the', '#', 'dog', 'profgalloway']","RT,paulbarron,:,Why,we,need,to,talk,about,Delivery,and,why,ubereats,be,NOT,the,answer,for,restaurant,karaswisher,and,the,#,dog,profgalloway","RT,paulbarron,:,Why,,need,,talk,,Delivery,,,ubereats,,NOT,,answer,,restaurant,karaswisher,,,#,dog,profgalloway"
456,New York,Open TONIGHT @TheBeaconJC from 5-8PM! PICK-UP ☎️(551)206-2060 and DELIVERY on UberEats! @The Beacon https://www.instagram.com/p/CCb0w2ijy98/?igshid=qx5ftya9ycr7,2020-07-09 20:31:04+00:00,,https://twitter.com/noforksgivennj/status/1281325016995504138,,"['Open', 'TONIGHT', '@', 'TheBeaconJC', 'from', '5-8PM', '!', 'PICK-UP', '☎️', '(', '551', ')', '206-2060', 'and', 'DELIVERY', 'on', 'UberEats', '!', '@', 'The', 'Beacon', 'https', ':', '//www.instagram.com/p/CCb0w2ijy98/', '?', 'igshid=qx5ftya9ycr7']","['Open', 'TONIGHT', '@', 'TheBeaconJC', 'from', '5-8PM', '!', 'PICK-UP', '☎️', '(', '551', ')', '206-2060', 'and', 'DELIVERY', 'on', 'UberEats', '!', '@', 'The', 'Beacon', 'http', ':', '//www.instagram.com/p/CCb0w2ijy98/', '?', 'igshid=qx5ftya9ycr7']","Open,TONIGHT,@,TheBeaconJC,from,5-8PM,!,PICK-UP,☎️,(,551,),206-2060,and,DELIVERY,on,UberEats,!,@,The,Beacon,http,:,//www.instagram.com/p/CCb0w2ijy98/,?,igshid=qx5ftya9ycr7","Open,TONIGHT,@,TheBeaconJC,,5-8PM,!,PICK-UP,☎️,(,551,),206-2060,,DELIVERY,,UberEats,!,@,The,Beacon,http,:,//www.instagram.com/p/CCb0w2ijy98/,?,igshid=qx5ftya9ycr7"
457,New York,"Today @casabx Presents Patio Thursday’s We are open! Outdoor seating available! Open From 1:30pm - 11pm Music From 6:00pm - 10:pm Available for curbside orders, Uber Eats, Postmates and Door Dash Call… https://www.instagram.com/p/CCbuoOBp25E/?igshid=19iobarf4s2in",2020-07-09 19:35:16+00:00,,https://twitter.com/djyankeenyc1/status/1281310972775456776,,"['Today', '@', 'casabx', 'Presents', 'Patio', 'Thursday', '’', 's', 'We', 'are', 'open', '!', 'Outdoor', 'seating', 'available', '!', 'Open', 'From', '1:30pm', '-', '11pm', 'Music', 'From', '6:00pm', '-', '10', ':', 'pm', 'Available', 'for', 'curbside', 'orders', ',', 'Uber', 'Eats', ',', 'Postmates', 'and', 'Door', 'Dash', 'Call…', 'https', ':', '//www.instagram.com/p/CCbuoOBp25E/', '?', 'igshid=19iobarf4s2in']","['Today', '@', 'casabx', 'Presents', 'Patio', 'Thursday', '’', 's', 'We', 'be', 'open', '!', 'Outdoor', 'seat', 'available', '!', 'Open', 'From', '1:30pm', '-', '11pm', 'Music', 'From', '6:00pm', '-', '10', ':', 'pm', 'Available', 'for', 'curbside', 'order', ',', 'Uber', 'Eats', ',', 'Postmates', 'and', 'Door', 'Dash', 'Call…', 'http', ':', '//www.instagram.com/p/CCbuoOBp25E/', '?', 'igshid=19iobarf4s2in']","Today,@,casabx,Presents,Patio,Thursday,’,s,We,be,open,!,Outdoor,seat,available,!,Open,From,1:30pm,-,11pm,Music,From,6:00pm,-,10,:,pm,Available,for,curbside,order,,,Uber,Eats,,,Postmates,and,Door,Dash,Call…,http,:,//www.instagram.com/p/CCbuoOBp25E/,?,igshid=19iobarf4s2in","Today,@,casabx,Presents,Patio,Thursday,’,,We,,open,!,Outdoor,seat,available,!,Open,From,1:30pm,-,11pm,Music,From,6:00pm,-,10,:,pm,Available,,curbside,order,,,Uber,Eats,,,Postmates,,Door,Dash,Call…,http,:,//www.instagram.com/p/CCbuoOBp25E/,?,igshid=19iobarf4s2in"
458,New York,UberEats really be sending my food on a tour of East Flatbush and I’m still not paying for priority delivery. Cut it out! @UberEats,2020-07-09 18:53:19+00:00,,https://twitter.com/ExecutiveJus/status/1281300417377382402,,"['UberEats', 'really', 'be', 'sending', 'my', 'food', 'on', 'a', 'tour', 'of', 'East', 'Flatbush', 'and', 'I', '’', 'm', 'still', 'not', 'paying', 'for', 'priority', 'delivery', '.', 'Cut', 'it', 'out', '!', '@', 'UberEats']","['UberEats', 'really', 'be', 'send', 'my', 'food', 'on', 'a', 'tour', 'of', 'East', 'Flatbush', 'and', 'I', '’', 'm', 'still', 'not', 'pay', 'for', 'priority', 'delivery', '.', 'Cut', 'it', 'out', '!', '@', 'UberEats']","UberEats,really,be,send,my,food,on,a,tour,of,East,Flatbush,and,I,’,m,still,not,pay,for,priority,delivery,.,Cut,it,out,!,@,UberEats","UberEats,really,,send,,food,,,tour,,East,Flatbush,,I,’,,still,,pay,,priority,delivery,.,Cut,,,!,@,UberEats"
459,New York,"Today @casabx Presents Patio Thursday’s We are open! Outdoor seating available! Open From 1:30pm - 11pm Music From 6:00pm - 10:pm Available for curbside orders, Uber Eats, Postmates and Door Dash Call… https://www.instagram.com/p/CCbRkPqJO8I/?igshid=vahqonim6ots",2020-07-09 15:21:18+00:00,,https://twitter.com/djyankeenyc1/status/1281247062017953792,,"['Today', '@', 'casabx', 'Presents', 'Patio', 'Thursday', '’', 's', 'We', 'are', 'open', '!', 'Outdoor', 'seating', 'available', '!', 'Open', 'From', '1:30pm', '-', '11pm', 'Music', 'From', '6:00pm', '-', '10', ':', 'pm', 'Available', 'for', 'curbside', 'orders', ',', 'Uber', 'Eats', ',', 'Postmates', 'and', 'Door', 'Dash', 'Call…', 'https', ':', '//www.instagram.com/p/CCbRkPqJO8I/', '?', 'igshid=vahqonim6ots']","['Today', '@', 'casabx', 'Presents', 'Patio', 'Thursday', '’', 's', 'We', 'be', 'open', '!', 'Outdoor', 'seat', 'available', '!', 'Open', 'From', '1:30pm', '-', '11pm', 'Music', 'From', '6:00pm', '-', '10', ':', 'pm', 'Available', 'for', 'curbside', 'order', ',', 'Uber', 'Eats', ',', 'Postmates', 'and', 'Door', 'Dash', 'Call…', 'http', ':', '//www.instagram.com/p/CCbRkPqJO8I/', '?', 'igshid=vahqonim6ots']","Today,@,casabx,Presents,Patio,Thursday,’,s,We,be,open,!,Outdoor,seat,available,!,Open,From,1:30pm,-,11pm,Music,From,6:00pm,-,10,:,pm,Available,for,curbside,order,,,Uber,Eats,,,Postmates,and,Door,Dash,Call…,http,:,//www.instagram.com/p/CCbRkPqJO8I/,?,igshid=vahqonim6ots","Today,@,casabx,Presents,Patio,Thursday,’,,We,,open,!,Outdoor,seat,available,!,Open,From,1:30pm,-,11pm,Music,From,6:00pm,-,10,:,pm,Available,,curbside,order,,,Uber,Eats,,,Postmates,,Door,Dash,Call…,http,:,//www.instagram.com/p/CCbRkPqJO8I/,?,igshid=vahqonim6ots"
460,New York,@UberEats it’s been a great couple years! But today marks my last order with @UberEats . Terrible handling of a simple issue. I just wanted a full refund as the entire purpose of my order was the STEAK AND EGGS. I got a chunk of ground beef. ,2020-07-09 15:02:43+00:00,,https://twitter.com/MsJessieJess/status/1281242384077029377,,"['@', 'UberEats', 'it', '’', 's', 'been', 'a', 'great', 'couple', 'years', '!', 'But', 'today', 'marks', 'my', 'last', 'order', 'with', '@', 'UberEats', '.', 'Terrible', 'handling', 'of', 'a', 'simple', 'issue', '.', 'I', 'just', 'wanted', 'a', 'full', 'refund', 'as', 'the', 'entire', 'purpose', 'of', 'my', 'order', 'was', 'the', 'STEAK', 'AND', 'EGGS', '.', 'I', 'got', 'a', 'chunk', 'of', 'ground', 'beef', '.']","['@', 'UberEats', 'it', '’', 's', 'be', 'a', 'great', 'couple', 'year', '!', 'But', 'today', 'mark', 'my', 'last', 'order', 'with', '@', 'UberEats', '.', 'Terrible', 'handling', 'of', 'a', 'simple', 'issue', '.', 'I', 'just', 'want', 'a', 'full', 'refund', 'as', 'the', 'entire', 'purpose', 'of', 'my', 'order', 'be', 'the', 'STEAK', 'AND', 'EGGS', '.', 'I', 'get', 'a', 'chunk', 'of', 'ground', 'beef', '.']","@,UberEats,it,’,s,be,a,great,couple,year,!,But,today,mark,my,last,order,with,@,UberEats,.,Terrible,handling,of,a,simple,issue,.,I,just,want,a,full,refund,as,the,entire,purpose,of,my,order,be,the,STEAK,AND,EGGS,.,I,get,a,chunk,of,ground,beef,.","@,UberEats,,’,,,,great,couple,year,!,But,today,mark,,last,order,,@,UberEats,.,Terrible,handling,,,simple,issue,.,I,,want,,full,refund,,,entire,purpose,,,order,,,STEAK,AND,EGGS,.,I,get,,chunk,,ground,beef,."
461,New York,Lmao how I went to visit my mom yesterday and someone’s Uber Eats delivery was just sitting on the floor dk contactless delivery I’d be fuckin pissed 🤣🤣,2020-07-09 13:31:32+00:00,,https://twitter.com/DontLiveDaHype/status/1281219439711617024,,"['Lmao', 'how', 'I', 'went', 'to', 'visit', 'my', 'mom', 'yesterday', 'and', 'someone', '’', 's', 'Uber', 'Eats', 'delivery', 'was', 'just', 'sitting', 'on', 'the', 'floor', 'dk', 'contactless', 'delivery', 'I', '’', 'd', 'be', 'fuckin', 'pissed', '🤣🤣']","['Lmao', 'how', 'I', 'go', 'to', 'visit', 'my', 'mom', 'yesterday', 'and', 'someone', '’', 's', 'Uber', 'Eats', 'delivery', 'be', 'just', 'sit', 'on', 'the', 'floor', 'dk', 'contactless', 'delivery', 'I', '’', 'd', 'be', 'fuckin', 'piss', '🤣🤣']","Lmao,how,I,go,to,visit,my,mom,yesterday,and,someone,’,s,Uber,Eats,delivery,be,just,sit,on,the,floor,dk,contactless,delivery,I,’,d,be,fuckin,piss,🤣🤣","Lmao,,I,go,,visit,,mom,yesterday,,someone,’,,Uber,Eats,delivery,,,sit,,,floor,dk,contactless,delivery,I,’,,,fuckin,piss,🤣🤣"
462,New York,The extra fees on Uber eats add up to a whole separate meal by the time you check out smh 🤦🏽‍♀️,2020-07-09 12:14:58+00:00,,https://twitter.com/Nonnahs___/status/1281200170051473409,,"['The', 'extra', 'fees', 'on', 'Uber', 'eats', 'add', 'up', 'to', 'a', 'whole', 'separate', 'meal', 'by', 'the', 'time', 'you', 'check', 'out', 'smh', '🤦🏽\u200d♀️']","['The', 'extra', 'fee', 'on', 'Uber', 'eats', 'add', 'up', 'to', 'a', 'whole', 'separate', 'meal', 'by', 'the', 'time', 'you', 'check', 'out', 'smh', '🤦🏽\u200d♀️']","The,extra,fee,on,Uber,eats,add,up,to,a,whole,separate,meal,by,the,time,you,check,out,smh,🤦🏽‍♀️","The,extra,fee,,Uber,eats,add,,,,whole,separate,meal,,,time,,check,,smh,🤦🏽‍♀️"
463,New York,"To aqui sentadinha no sofá esperando a padaria abrir pra pedir coxinha no uber eats. Isso, amigos, é desejo de grávida hahahaha",2020-07-09 10:42:41+00:00,,https://twitter.com/cinoca/status/1281176943828877314,,"['To', 'aqui', 'sentadinha', 'no', 'sofá', 'esperando', 'a', 'padaria', 'abrir', 'pra', 'pedir', 'coxinha', 'no', 'uber', 'eats', '.', 'Isso', ',', 'amigos', ',', 'é', 'desejo', 'de', 'grávida', 'hahahaha']","['To', 'aqui', 'sentadinha', 'no', 'sofá', 'esperando', 'a', 'padaria', 'abrir', 'pra', 'pedir', 'coxinha', 'no', 'uber', 'eats', '.', 'Isso', ',', 'amigos', ',', 'é', 'desejo', 'de', 'grávida', 'hahahaha']","To,aqui,sentadinha,no,sofá,esperando,a,padaria,abrir,pra,pedir,coxinha,no,uber,eats,.,Isso,,,amigos,,,é,desejo,de,grávida,hahahaha","To,aqui,sentadinha,,sofá,esperando,,padaria,abrir,pra,pedir,coxinha,,uber,eats,.,Isso,,,amigos,,,é,desejo,de,grávida,hahahaha"
464,New York,I ordered food through UberEats and without realizing it I still had the delivery option to my best friend house because I was over there the other day. So I called the delivery guy to try and switch it &amp; I got hit with “I don’t speak no ingles” ,2020-07-09 03:41:17+00:00,,https://twitter.com/sircastro3/status/1281070897055633413,,"['I', 'ordered', 'food', 'through', 'UberEats', 'and', 'without', 'realizing', 'it', 'I', 'still', 'had', 'the', 'delivery', 'option', 'to', 'my', 'best', 'friend', 'house', 'because', 'I', 'was', 'over', 'there', 'the', 'other', 'day', '.', 'So', 'I', 'called', 'the', 'delivery', 'guy', 'to', 'try', 'and', 'switch', 'it', '&', 'amp', ';', 'I', 'got', 'hit', 'with', '“', 'I', 'don', '’', 't', 'speak', 'no', 'ingles', '”']","['I', 'order', 'food', 'through', 'UberEats', 'and', 'without', 'realize', 'it', 'I', 'still', 'have', 'the', 'delivery', 'option', 'to', 'my', 'best', 'friend', 'house', 'because', 'I', 'be', 'over', 'there', 'the', 'other', 'day', '.', 'So', 'I', 'call', 'the', 'delivery', 'guy', 'to', 'try', 'and', 'switch', 'it', '&', 'amp', ';', 'I', 'get', 'hit', 'with', '“', 'I', 'don', '’', 't', 'speak', 'no', 'ingles', '”']","I,order,food,through,UberEats,and,without,realize,it,I,still,have,the,delivery,option,to,my,best,friend,house,because,I,be,over,there,the,other,day,.,So,I,call,the,delivery,guy,to,try,and,switch,it,&,amp,;,I,get,hit,with,“,I,don,’,t,speak,no,ingles,”","I,order,food,,UberEats,,without,realize,,I,still,,,delivery,option,,,best,friend,house,,I,,,,,,day,.,So,I,call,,delivery,guy,,try,,switch,,&,amp,;,I,get,hit,,“,I,,’,,speak,,ingles,”"
