tweet_count,city,body,date,hashtags,link,geo
800,New York,"The window is open and we are here with all the food and drinks you need. Stop by and say hello, order at http://georgekeeley.com, or on @grubhub and ubereats. #beerisgood #drinkamongstfriends @George Keeley NYC https://www.instagram.com/p/CBI7lzMJHul/?igshid=1b4cn6knbxg1n",2020-06-07 15:51:33+00:00,#beerisgood #drinkamongstfriends,https://twitter.com/georgekeeleynyc/status/1269658260522651648,
801,New York,White people MAD at Uber Eats lmao.... The way people outrage over free delivery but won't say nothing when people are dying because of cops is beyond me.,2020-06-07 15:09:54+00:00,,https://twitter.com/RichPointofView/status/1269647780592734214,
802,New York,Blueberry Basil Iced Tea! ⁣⁣ ⁣⁣ Available at both locations for pickup or delivery 😎 ⁣⁣ ⁣⁣ ✅Uber Eats⁣⁣ ✅Grub Hub⁣⁣ ✅Door Dash ,2020-06-07 14:39:09+00:00,,https://twitter.com/KtbCoffeeshop/status/1269640043020333056,
803,New York,Shop is OPEN til 4pm today for takeout & delivery @ubereats @doordash @postmates Thanks @midnightmarketevents for this great photo! #MordisSandwichShop #JerseyCity #shopsmallbusiness #breakfast #breakfastsandwich #shopsmall #shoplocal,2020-06-07 13:38:03+00:00,#MordisSandwichShop #JerseyCity #shopsmallbusiness #breakfast #breakfastsandwich #shopsmall #shoplocal,https://twitter.com/MordisFoodTruck/status/1269624665913339905,
804,New York,"My mans said imagine you order UberEats &amp; the person who deliver your food is one of your opps, he’s toast 😂",2020-06-07 03:01:30+00:00,,https://twitter.com/L0UIEBELT/status/1269464471812157448,
805,New York,I know im doing good saving money because I really want some Wawa and i deleted the ubereats app to prevent myself from ordering.,2020-06-06 23:53:32+00:00,,https://twitter.com/PhilYouWildin/status/1269417168728457217,
806,New York,"Last call to order your uber eats my friend, curfew is a coming. ",2020-06-06 22:37:10+00:00,,https://twitter.com/Juliannyc901/status/1269397950620409856,
807,New York,"Pepper Steak 🔥🔥 Order NOW #Ubereats #Grubhub #elmwoodparknj #hackensack #lodinj #montclair #bloomfield #Cliftonnj #saddleriver #news12nj #waynenj @Paterson, New Jersey https://www.instagram.com/p/CBG77eapw-l/?igshid=14flk231d8zfw",2020-06-06 21:16:02+00:00,#Ubereats #Grubhub #elmwoodparknj #hackensack #lodinj #montclair #bloomfield #Cliftonnj #saddleriver #news12nj #waynenj,https://twitter.com/PatersonJammin/status/1269377531326730243,
808,New York,"We Are Open From 1pm-8pm Today! Delivery & Take Out Only | Order Online at http://www.thececilharlem.com or Find Us on Grubhub, Doordash &amp; Uber Eats | The Best Food &amp; Cocktails in HARLEM🔥 . . #weekend #openforbusiness… https://www.instagram.com/p/CBGi_xhJmQS/?igshid=1gv62ab8xjkvs",2020-06-06 17:40:00+00:00,#weekend #openforbusiness,https://twitter.com/TheCecilHarlem/status/1269323167245492224,
809,New York,WE ARE OPEN! All Your Favorite Dishes & Drinks! #SATURDAYS 12PM-2AM! . ✅FIND US ON #UBEREATS &amp; #GRUBHUB OR CALL TO ORDER YOUR #TAKEOUT: 718.835.1000! . #flamingorestaurant #mantralounge #queens #nyc #queenseats… https://www.instagram.com/p/CBGhR1unS7_/?igshid=1858fnkwwd0k,2020-06-06 17:26:11+00:00,#SATURDAYS #UBEREATS #GRUBHUB #TAKEOUT #flamingorestaurant #mantralounge #queens #nyc #queenseats,https://twitter.com/FlamingoMantra/status/1269319689055940608,
810,New York,When you realize your uber eats delivery guy is going the wrong way ,2020-06-06 16:18:31+00:00,,https://twitter.com/Juliannyc901/status/1269302661427400704,
811,New York,Uber eats has to many choices out here. Got me scrolling up and down for a half hour deciding what I want to eat lol,2020-06-06 16:14:22+00:00,,https://twitter.com/klews_/status/1269301616575950849,
812,New York,"It’s a lovely day for a BLT Heritage bacon, kewpie mayo, local tomatoes, shredded lettuce, toasted Martin’s Potato Bread. @chelseamarketny @postmates ubereats @TryCaviar @Chelsea Market https://www.instagram.com/p/CBGCVj3j4cF/?igshid=7sf24csgtyme",2020-06-06 12:52:47+00:00,,https://twitter.com/EatMeaty/status/1269250884866899968,
813,New York,,2020-06-06 05:24:21+00:00,,https://twitter.com/CEOEnterpriseNX/status/1269138032730550273,
814,New York,😂😂😂 droppin off late night Uber eats be like ,2020-06-06 04:29:24+00:00,,https://twitter.com/5amDrils/status/1269124205418811394,
815,New York,I could beat @UberEats ass why my order never fuccin got here 3 hours later,2020-06-06 03:35:42+00:00,,https://twitter.com/sadgurlzclubx/status/1269110692927471617,
816,New York,El susto que me di que el chofer de uber eats se llama y se parece a mi ex.. me di cuenta por el carro 🤣,2020-06-06 01:59:04+00:00,,https://twitter.com/santa_cosita/status/1269086373669228544,
817,New York,Uber eats stay playing. These niggas always stealing my food ☹️,2020-06-06 00:18:45+00:00,,https://twitter.com/imsofetchhhhh/status/1269061128090464257,
818,New York,"One of the many spots that I have djed at http://shanghai.red 🔥🚀🚨 . AND THEY ARE BACK‼️ Take Out &amp; Delivery Available Via UberEats, Grubhub, &amp; DoorDash 🏎 DM or Call With Any Questions‼️ @Shanghai Red https://www.instagram.com/p/CBEZvavJcJW/?igshid=v5hfh8v5itws",2020-06-05 21:38:47+00:00,,https://twitter.com/djyankeenyc1/status/1269020871643070464,
819,New York,"SWIPE... Quiet solo dinner tonight at home before my turn up tomorrow as I attack this #seafoodboil ... if you can’t love yourself &amp; be by yourself, no one ever will. First time ordering ubereats thank you!! Can’t… https://www.instagram.com/p/CBEY9_fA39V/?igshid=10grfycoxsfsx",2020-06-05 21:32:04+00:00,#seafoodboil,https://twitter.com/LayneTricia/status/1269019181770346497,
820,New York,@UberEats Thank you for supporting black-owned businesses #BlackLivesMatter #NYCPROTESTS #GeorgeFloydProtests #Curfew,2020-06-05 21:20:17+00:00,#BlackLivesMatter #BlackLivesMatter #NYCPROTESTS #GeorgeFloydProtests #Curfew,https://twitter.com/anglnrebel/status/1269016215403606016,
821,New York,"I’ve really spent at least a Virgil on UberEats in the last 2 days, i need to stop",2020-06-05 21:16:54+00:00,,https://twitter.com/ogtega_/status/1269015361896230916,
822,New York,"Weird. @Grindr praised for removing search by race, yet @UberEats praised for adding search by race.",2020-06-05 21:13:49+00:00,,https://twitter.com/Thurdeye/status/1269014586423902210,
823,New York,SATURDAY! 12 noon till 7pm #SomeGoodFood #chefkia #oxtails #and #rice #saturday #shoplocal #shopsmall #smallbiz #essexcountynj #westorangenj #openfortakeout #openfordelivery #doordash #grubhub #UberEats #postmates – at Some Good Food,2020-06-05 20:57:17+00:00,#SomeGoodFood #chefkia #oxtails #and #rice #saturday #shoplocal #shopsmall #smallbiz #essexcountynj #westorangenj #openfortakeout #openfordelivery #doordash #grubhub #UberEats #postmates,https://twitter.com/SomeGoodFood1/status/1269010425871585280,
824,New York,uber eats has a section of black owned businesses and the delivery is free❗️,2020-06-05 20:48:06+00:00,,https://twitter.com/DaniBreezy23/status/1269008115577630720,
825,New York,WE ARE OPEN! All Your Favorite Dishes & Drinks! #FRIDAYS 12PM-2AM! . ✅FIND US ON #UBEREATS OR CALL TO ORDER YOUR #TAKEOUT: 718.835.1000! . #flamingorestaurant #mantralounge #queens #nyc #queenseats #nyceats… https://www.instagram.com/p/CBEPLjxntHn/?igshid=kaz3ofy7uf7l,2020-06-05 20:08:29+00:00,#FRIDAYS #UBEREATS #TAKEOUT #flamingorestaurant #mantralounge #queens #nyc #queenseats #nyceats,https://twitter.com/FlamingoMantra/status/1268998147923218436,
826,New York,door dash did,2020-06-05 18:53:46+00:00,,https://twitter.com/PoeBoyPelle/status/1268979341091799041,
827,New York,"Instacart, Shipt, Postmates, UberEats, and Grubhub drivers should be considered as essential workers in NYC. I work hard to follow CDC rules delivering to customers. Curfew is 8pm. Elderly use our services. Please! Consider us. @Shipt @Postmates @Instacart @NYCMayor @NYGovCuomo",2020-06-05 16:46:15+00:00,,https://twitter.com/k_aylalexis/status/1268947253772857344,
828,New York,"Last day of the week to grab some grub, start your weekend off right! We will be closed this weekend. Open from 11:30-4:30PM today on Sussex and Hudson. PICK-UP ☎️(551)206-2060 and DELIVERY via Grubhub, UberEats and… https://www.instagram.com/p/CBDsL9_jU-S/?igshid=1muvxq0x3ytuv",2020-06-05 15:00:45+00:00,,https://twitter.com/noforksgivennj/status/1268920702163472385,
829,New York,@UberEats desde marzo mi app está en está pantalla no me deja trabajar ,2020-06-05 14:15:07+00:00,,https://twitter.com/Alairawo/status/1268909220285550598,
830,New York,Breakfast #Ubereats.502 Broadway http://Paterson.Open everyday.🆓🆓Delivery when you order online #downtownpaterson #wyckoff #teanecknj #parsippanynj #andresayegh #fairlawnnj #franklinlakesnj #garfieldnj #hackensacknj… https://www.instagram.com/p/CBDgFFaJVv4/?igshid=1clznqdfgyjlt,2020-06-05 13:14:58+00:00,#Ubereats #downtownpaterson #wyckoff #teanecknj #parsippanynj #andresayegh #fairlawnnj #franklinlakesnj #garfieldnj #hackensacknj,https://twitter.com/PatersonJammin/status/1268894079741542406,
831,New York,"@GloriaPazmino @THECITYNY @NYDailyNews @nytimes someone needs to ask @NYCMayor @NYPDShea about this. In all honesty, I’ve stopped ordering from @UberEats @Grubhub @Postmates during curfew bc i would hate this to happen to the delivery person bc of my order.",2020-06-05 04:40:47+00:00,,https://twitter.com/NaomiPenaNYC/status/1268764682132828161,
832,New York,If @UberEats really wanted to support they would partner with @BlackandMobile1 - the first Black-Owned food delivery service that partners with Black-Owned Businesses. Don’t take business away from people whom have been serving the people you ignored.,2020-06-05 04:11:16+00:00,,https://twitter.com/BrennanDuBose/status/1268757256256008192,
833,New York,I just ordered pints of ice cream through uber eats life is good,2020-06-05 00:54:38+00:00,,https://twitter.com/giannaa316/status/1268707768241979392,
834,New York,I’m gonna start an app. Like Uber Eats but for blowjob delivery.,2020-06-05 00:16:00+00:00,,https://twitter.com/TheMr_NYC/status/1268698047636258824,
835,New York,That’s great! Thanks so much for the update.,2020-06-04 23:02:50+00:00,,https://twitter.com/fosterhood/status/1268679633010122756,
836,New York,Tropical 🌴 House 🏡 Special🍖🍗🥩 🦐 🦀 Fried Rice 🍚 ☝🏽😋 _tropicalfantasy173 ubereats #workfromhome #financialprofessional #supersinghs🙏🏽🕉🇺🇸 @Shawn’s Fortress of Solitude https://www.instagram.com/p/CBB4us7DTiq0Z4qTZdwtwWjpYtb4gAH2Veorfk0/?igshid=nvao9u0rvqxn,2020-06-04 22:11:53+00:00,#workfromhome #financialprofessional #supersinghs,https://twitter.com/KismetsbShawn/status/1268666812138434564,
837,New York,Cavateli Bolognese available for delivery or pick up #piccolavenezia #astoriaqueens #astoriaitalian #yelpqueens #grubhub #caviarny #ubereats #pastafresca @Piccola Venezia Restaurant https://www.instagram.com/p/CBB34faDpEx/?igshid=2cgyur8e8tw2,2020-06-04 22:04:27+00:00,#piccolavenezia #astoriaqueens #astoriaitalian #yelpqueens #grubhub #caviarny #ubereats #pastafresca,https://twitter.com/Piccola_Venezia/status/1268664942892167168,
838,New York,Wait they on Uber eats?!??? Bet!,2020-06-04 19:28:32+00:00,,https://twitter.com/curlyhairedsoph/status/1268625704809304072,
839,New York,WE ARE OPEN! All Your Favorite Dishes & Drinks! #THURSDAYS 12PM-1AM! . ✅FIND US ON #UBEREATS &amp; #GRUBHUB OR CALL TO ORDER YOUR #TAKEOUT: 718.835.1000! . #flamingorestaurant #mantralounge #queens #nyc #queenseats… https://www.instagram.com/p/CBBfWHAH89D/?igshid=o8hd1lhypli4,2020-06-04 18:33:13+00:00,#THURSDAYS #UBEREATS #GRUBHUB #TAKEOUT #flamingorestaurant #mantralounge #queens #nyc #queenseats,https://twitter.com/FlamingoMantra/status/1268611783859847170,
840,New York,"Got a roof? Fill a growler or get some cans to go. We are open for lunch so come grab some beers and food from us, order at http://georgekeeley.com or on @grubhub and ubereats. beerisgood #drinkamongstfriends #craftbeer @… https://www.instagram.com/p/CBBPe2IpG6m/?igshid=qz2djkc1rtrc",2020-06-04 16:11:26+00:00,#drinkamongstfriends #craftbeer,https://twitter.com/georgekeeleynyc/status/1268576103762817024,
841,New York,"WE ARE FUCKING BACK !!!! 🤙WOOOOOOOOO! It's been awhile but no worries the smoke is here on JFK blvd, between duncan &amp; fairmount ave, come thru for pickups , walk ups,, or order via UberEats! 12-6pm !!… https://www.instagram.com/p/CBBF9uMjUEL/?igshid=rofwtfuurrco",2020-06-04 14:48:17+00:00,,https://twitter.com/SmokeOdyssey/status/1268555175654051843,
842,New York,"Open TODAY at Sussex & Hudson from 11:30-2:30PM and TONIGHT @TheBeaconJC from 5-8PM. PICK-UP ☎️(551)206-2060 and DELIVERY via Grubhub, UberEats and Seamless. #letsgetit #friedchicken #dinnerideas @Jersey City, New… https://www.instagram.com/p/CBBEd4PDs-J/?igshid=9y2xaireqt0c",2020-06-04 14:35:11+00:00,#letsgetit #friedchicken #dinnerideas,https://twitter.com/noforksgivennj/status/1268551880667471874,
843,New York,Amex Platinum Card: $250 in Free Groceries or Uber Eats! ,2020-06-04 14:28:49+00:00,,https://twitter.com/princeof_travel/status/1268550276291727369,
844,New York,"Margot’s making some killer fried chicken today. Lunch/Dinner for 4 - Whole chicken in 12 pieces, coleslaw, pickles & waffle fries. Order on - @seamless @TryCaviar @postmates ubereats @chelseamarketny… https://www.instagram.com/p/CBA6ZpTj_gC/?igshid=1orhh547vdm94",2020-06-04 13:07:13+00:00,,https://twitter.com/EatMeaty/status/1268529744359931905,
845,New York,Butter Bean & Saltfish 😋 #Ubereats Breakfast #teanecknj #cliftonnj #elmwoodparknj #parsippanynj #montclair #bergenrecord #nyjets #nygiants #downtownpaterson #franklinlakesnj #hackensacknj @Tropical Delight Jamaican… https://www.instagram.com/p/CBA3ffCp_dJ/?igshid=6sjo65bdscd9,2020-06-04 12:41:49+00:00,#Ubereats #teanecknj #cliftonnj #elmwoodparknj #parsippanynj #montclair #bergenrecord #nyjets #nygiants #downtownpaterson #franklinlakesnj #hackensacknj,https://twitter.com/PatersonJammin/status/1268523349862473728,
846,New York,Uber eats about to be so clutch,2020-06-04 04:36:05+00:00,,https://twitter.com/Manijuanaaaaa/status/1268401110806601740,
847,New York,Finally tried @RedFarmNYC #chinesefood by using ubereats #threechilichicken #shrimpstuffedjalapenopoppers #goldcoinscallionpancakes @Upper East Side https://www.instagram.com/p/CA_hqnRFGRc/?igshid=z9sczx0j3b2x,2020-06-04 00:11:52+00:00,#chinesefood #threechilichicken #shrimpstuffedjalapenopoppers #goldcoinscallionpancakes,https://twitter.com/marcmillmanpix/status/1268334619457392642,
848,New York,Dinner 🍽 curry 🍛 goat 🐐 with hot 🥵 roti ☝🏽😋 _tropicalfantasy173 ubereats #workfromhome #financialprofessional #supersinghs🙏🏽🕉🇺🇸 @Shawn’s Fortress of Solitude https://www.instagram.com/p/CA_gZHrjGI2BcyNbj0r42fh6o82f4umtzZdW5w0/?igshid=1jp8z22p8emw7,2020-06-04 00:00:57+00:00,#workfromhome #financialprofessional #supersinghs,https://twitter.com/KismetsbShawn/status/1268331870514798593,
849,New York,"caferubio No te encuentras en nuestro rango para Delivery? no hay problema, nuestro menú esta disponible en Uber Eats. en Cafe Rubio Restaurant https://www.instagram.com/p/CA_JqN8jF2t/?igshid=r3vwlax06cpa",2020-06-03 20:42:04+00:00,,https://twitter.com/djjosephloveras/status/1268281821336387586,
850,New York,"WORK MODE EVERYDAY ALLDAY!! NO CAR, NO GAS or ELECTRIC BIKE/SCOOTER. 💯WALKING!! #ubereats DURING A WORLD 🌎 WIDE PANDEMIC &amp; NOW NATION WIDE PROTEST &amp; RIOTING, IM STILL OUT HERE TRYING TO FEED MYSELF &amp; PAY MY RENT....… https://www.instagram.com/p/CA-_f5wFK7q/?igshid=f9ed9utl4ssl",2020-06-03 19:13:18+00:00,#ubereats,https://twitter.com/WillRockNetwork/status/1268259482003542018,
851,New York,"We thank NY State for working to drastically reduce the rates we pay Grubhub, UberEats, Doordash, Postmates, http://Delivery.com and Allset Call us direct also @718 222 1010 @Amarachi https://www.instagram.com/p/CA-6oNFgpnI/?igshid=2hh0ybsntr9j",2020-06-03 18:30:52+00:00,,https://twitter.com/AmarachiBub/status/1268248805394264068,
852,New York,"We thank NY State for working to drastically reduce the rates we pay Grubhub, UberEats, Doordash, Postmates, http://Delivery.com and Allset Call us direct also @718 222 1010 @Amarachi https://www.instagram.com/p/CA-6imEAxzK/?igshid=15t1bq5r6k1n8",2020-06-03 18:30:05+00:00,,https://twitter.com/AmarachiBub/status/1268248608018706432,
853,New York,"We are open for lunch and have so many delicious options for you. Come order with us at the window, at http://georgekeeley.com or on @grubhub and ubereats. Last call tonight is at 7:00 in order to comply with the city’s… https://www.instagram.com/p/CA-r4N4JIOX/?igshid=7to5cpbxxqdz",2020-06-03 16:21:51+00:00,,https://twitter.com/georgekeeleynyc/status/1268216336318152705,
854,New York,WE ARE OPEN! All Your Favorite Dishes & Drinks! #WEDNESDAYS 11AM UNTIL! . ✅FIND US ON #UBEREATS &amp; #GRUBHUB OR CALL TO ORDER YOUR #TAKEOUT: 718.835.1000! . #flamingorestaurant #mantralounge #queens #nyc #queenseats… https://www.instagram.com/p/CA-qDurH-RT/?igshid=7p0e1m8qpm1q,2020-06-03 16:08:12+00:00,#WEDNESDAYS #UBEREATS #GRUBHUB #TAKEOUT #flamingorestaurant #mantralounge #queens #nyc #queenseats,https://twitter.com/FlamingoMantra/status/1268212900524630016,
855,New York,Turkey Neck W Butter Bean Lunch is 🔥🔥#UBEREATS🇯🇲 @Tropical Delight Jamaican Restaurant https://www.instagram.com/p/CA-pHoJpTqH/?igshid=1o8ybgsh75qx1,2020-06-03 15:57:45+00:00,#UBEREATS,https://twitter.com/PatersonJammin/status/1268210269353848832,
856,New York,"Open today from 11:30-3PM on Sussex and Hudson! Come grab some food before the rain hits! PICK-UP ☎️(551)206-2060 and DELIVERY via UberEats, Grubhub and Seamless #noforksgiven #jerseycity #jerseycitystrong #pma @… https://www.instagram.com/p/CA-kDxdDTnW/?igshid=3gmrais00ozl",2020-06-03 15:13:31+00:00,#noforksgiven #jerseycity #jerseycitystrong #pma,https://twitter.com/noforksgivennj/status/1268199141227839492,
857,New York,Guess what? McDonald’s & Uber Eats is essential &amp; my food gonna be here in 20mins 🤗,2020-06-03 06:28:59+00:00,,https://twitter.com/queenjai_/status/1268067137056387072,
858,New York,on ft w derrick & he tells me he was approached by 4 SWAT officers asking why he was outside.. before columbus curfew started.. while he went to go get his uber eats order from the driver’s car. black ppl really can’t step outside for more than a few seconds without issues.,2020-06-03 03:30:00+00:00,,https://twitter.com/rachelgangel/status/1268022095117762561,
859,New York,Mándalo por Ubereats qué hay toque de queda,2020-06-03 02:17:58+00:00,,https://twitter.com/RosyyRozay/status/1268003965951791107,
860,New York,"If you’re worried about UberEats, the food delivery feature will continue to operate past curfew as an essential service, per @MattRyanPerez. Read more: https://www.forbes.com/sites/mattperez/2020/06/02/uber-and-lyft-suspend-service-in-new-york-city-during-protest-curfew/#11401b071ec2",2020-06-03 01:51:39+00:00,,https://twitter.com/kayangrum/status/1267997341677690880,
861,New York,"If somebody told me that I’d be sitting at a computer to study for my Master’s and eating @BWWings from @UberEats in 2020, I’d tell them that they were crazy🤣🤣🤣 .... #BuffaloWildWings #UberEats #FullSailor",2020-06-03 01:37:55+00:00,#BuffaloWildWings #UberEats #FullSailor,https://twitter.com/KASSI0_/status/1267993887718748160,
862,New York,@UberEats I've been waiting for my order for 40 mins just for you to lie and say you tried to deliver my food. I want my money refunded!!!,2020-06-03 00:57:07+00:00,,https://twitter.com/Cheababy35/status/1267983618993008640,
863,New York,718 222 1010 Doordash UberEats Grubhub Allset Postmates http://Deliver.com http://Www.amarachibrooklyn189.com @Amarachi https://www.instagram.com/p/CA8hF69n-3-/?igshid=14nl79l9vnvx5,2020-06-02 20:09:19+00:00,,https://twitter.com/AmarachiBub/status/1267911190203691008,
864,New York,718 222 1010 Doordash UberEats Grubhub Allset Postmates http://Deliver.com http://Www.amarachibrooklyn189.com @Amarachi https://www.instagram.com/p/CA8fSCalO34/?igshid=7s6teaf8o86t,2020-06-02 19:53:30+00:00,,https://twitter.com/AmarachiBub/status/1267907213080788997,
865,New York,718 222 1010 Doordash UberEats Grubhub Allset Postmates http://Deliver.com http://Www.amarachibrooklyn189.com @Amarachi https://www.instagram.com/p/CA8fHdujHTH/?igshid=6tm7uo40054l,2020-06-02 19:52:05+00:00,,https://twitter.com/AmarachiBub/status/1267906856653111299,
866,New York,#TakeoutTuesdays WE ARE OPEN! 2PM-1AM! FOOD &amp; DRINKS TO GO! . ✅FIND US ON #UBEREATS &amp; #GRUBHUB OR CALL TO ORDER YOUR #TAKEOUT: 718.835.1000! . #flamingorestaurant #mantralounge #queens #nyc #queenseats #nyceats… https://www.instagram.com/p/CA8VgKGng0Z/?igshid=1psc9x80thv8w,2020-06-02 18:28:29+00:00,#TakeoutTuesdays #UBEREATS #GRUBHUB #TAKEOUT #flamingorestaurant #mantralounge #queens #nyc #queenseats #nyceats,https://twitter.com/FlamingoMantra/status/1267885816011018243,
867,New York,Daddy and Daughter Lunchtime @popeyeschicken ubereats #supersinghs🙏🏽🕉🇺🇸 @Shawn’s Fortress of Solitude https://www.instagram.com/p/CA8SdtWjYHQQ4FyjaURW1LuAvtvrz3-uiQCaVY0/?igshid=vjmu8gtpjzk7,2020-06-02 18:01:19+00:00,#supersinghs,https://twitter.com/KismetsbShawn/status/1267878981203898373,
868,New York,"Squid ink Maltagliati with seared salmon, capers and lemon pepper crema #piccolavenezia #astoriaitalian #astoriaqueens #yelpqueens #grubhub #caviarny #ubereats #pastafresca @Piccola Venezia Restaurant https://www.instagram.com/p/CA8R2jgjRir/?igshid=t53qpobx2mog",2020-06-02 17:55:56+00:00,#piccolavenezia #astoriaitalian #astoriaqueens #yelpqueens #grubhub #caviarny #ubereats #pastafresca,https://twitter.com/Piccola_Venezia/status/1267877626221338630,
869,New York,"We are back OPEN! Open from 11:30-3PM on Sussex and Hudson today. PICK-UP ☎️(551)206-2060. DELIVERY via Grubhub, UberEats and Seamless #pma @Paulus Hook Ferry Terminal https://www.instagram.com/p/CA7j9jxDQkW/?igshid=d8r54y9589he",2020-06-02 11:14:56+00:00,#pma,https://twitter.com/noforksgivennj/status/1267776710239383552,
870,New York,"Overheard a young guy riding a skateboard on Park Ave.: “ i’m on Uber Eats, so I can be out on the street all night!”",2020-06-02 03:28:15+00:00,,https://twitter.com/JCColtin/status/1267659263448616961,
871,New York,I spent $50 in Uber eats today !,2020-06-02 02:46:41+00:00,,https://twitter.com/iamToniTerrell/status/1267648806574841856,
872,New York,WE ARE OPEN! All Your Favorite Dishes & Drinks! #MONDAYS TIL 1AM! . ✅FIND US ON #UBEREATS #GRUBHUB &amp; #SEAMLESS OR CALL TO ORDER YOUR #TAKEOUT: 718.835.1000! . #flamingorestaurant #mantralounge #queens #nyc… https://www.instagram.com/p/CA53gAdH_4o/?igshid=19yu224ylx1q1,2020-06-01 19:30:27+00:00,#MONDAYS #UBEREATS #GRUBHUB #SEAMLESS #TAKEOUT #flamingorestaurant #mantralounge #queens #nyc,https://twitter.com/FlamingoMantra/status/1267539021829476354,
873,New York,‘Mezzi Rigatoni Carbonara’ from our take out menu. #piccolavenezia #astoriaitalian #grubhub #caviarny #ubereats #pastafresca #yelpqueens @Piccola Venezia Restaurant https://www.instagram.com/p/CA50v5ij-ce/?igshid=t5wt9c0gxzi,2020-06-01 19:03:08+00:00,#piccolavenezia #astoriaitalian #grubhub #caviarny #ubereats #pastafresca #yelpqueens,https://twitter.com/Piccola_Venezia/status/1267532149521088514,
874,New York,THEY GOT MARTHAS ON UBER EATS👀,2020-06-01 18:05:47+00:00,,https://twitter.com/DocJBlock/status/1267517716245684224,
875,New York,Fill your life with the green goodness of matcha green tea ! 🍵 Make sure to get it with an amazing #lightbulbcup 💡. Call ahead to order one of these for a quick and easy curbside pickup. We also have #ubereats… https://www.instagram.com/p/CA5tkLSjlDN/?igshid=3er9pub6qvuc,2020-06-01 18:00:23+00:00,#lightbulbcup #ubereats,https://twitter.com/creationsyogurt/status/1267516356364251136,
876,New York,"Just saying 😅😂🤣 call me I have my calendar 📆 ready 🤩 We can still keep our distance 😷 and have a Virtual Dinner 🍽 we can order from UberEats, Grubhub or from a restaurant that delivers 😛… https://www.instagram.com/p/CA5L591BO0qSTLNX-4M8fUjLvnNw3BhN1i1-VQ0/?igshid=12un9hqn3ixnv",2020-06-01 13:06:16+00:00,,https://twitter.com/mmercado86/status/1267442340752482305,
877,New York,Fell asleep on my Uber eats last night 🤦🏽‍♂️,2020-06-01 12:06:41+00:00,,https://twitter.com/a_eg8__/status/1267427344417017857,
878,New York,Chipper Style Burritos. Chicken or Beef 😋 on every day. 24/7 😳😊💪. So much to choose from. Check out our menu @thechippertruck.com Delivering till 2am tonight. But Uber Eats is on all night 😊❤️. Happy Sunday everyone… https://www.instagram.com/p/CA3d0eCJCh1/?igshid=m3uitg997khu,2020-05-31 21:04:19+00:00,,https://twitter.com/chipper_c/status/1267200255684153347,
879,New York,"Delivery available, 4pm to 12am. Thru ubereats , @doordash @grubhub Also call direct TEL:917-801-3100 #bestiakitchen #delivery #stayhome #doordash #ubereats #grubhub #nyc #bronx #manhattan #food #dinner #takeout… https://www.instagram.com/p/CA3ZnuSDB-e/?igshid=1kl87397guhky",2020-05-31 20:27:39+00:00,#bestiakitchen #delivery #stayhome #stayhome #doordash #ubereats #grubhub #nyc #bronx #manhattan #food #dinner #takeout,https://twitter.com/LokiLlo_R1/status/1267191030526377984,
880,New York,"Delivery available, 4pm to 12am. Thru ubereats , @doordash @grubhub Also call direct TEL:917-801-3100 #bestiakitchen #delivery #stayhome #doordash #ubereats #grubhub #nyc #bronx #manhattan #food #dinner #takeout… https://www.instagram.com/p/CA3ZfQ3DEap/?igshid=v2tf8gwxtj70",2020-05-31 20:26:31+00:00,#bestiakitchen #delivery #stayhome #stayhome #doordash #ubereats #grubhub #nyc #bronx #manhattan #food #dinner #takeout,https://twitter.com/LokiLlo_R1/status/1267190745083056130,
881,New York,"📸 brainfreezenewmilford Thanks for tagging @NJEatsMag This Black raspberry triple scoop 🍦🤤😋 looks great! . Drive-thru and Delivery via Uber eats, door dash and grub hub available; we are open 12-9pm… https://www.instagram.com/p/CA3JhqVDqCl/?igshid=1ffg2xz1huv5p",2020-05-31 18:07:00+00:00,,https://twitter.com/NJEatsMag/status/1267155633226362881,
882,New York,IT’S #BBQ #SUNDAYS ☀️ Grab a Refreshing #Cocktail TO GO with your FOOD! 🍽 🍹🏖 TEL: 718-835-1000! . #takeout #queens #nyc #flamingorestaurant #mantralounge #ubereats #grubhub #seamless #caribbean @Flamingo Restaurant… https://www.instagram.com/p/CA3FMwIHej2/?igshid=1vqif1a6o1gnr,2020-05-31 17:33:20+00:00,#BBQ #SUNDAYS #Cocktail #takeout #queens #nyc #flamingorestaurant #mantralounge #ubereats #grubhub #seamless #caribbean,https://twitter.com/FlamingoMantra/status/1267147163706052609,
883,New York,#acaibowl mochableunj #quarantine #ubereats #yummy #healthylifestyle #healthyfood @Mocha Bleu https://www.instagram.com/p/CA3Cj1Zhsd2/?igshid=8vco9mtuyed4,2020-05-31 17:06:10+00:00,#acaibowl #quarantine #ubereats #yummy #healthylifestyle #healthyfood,https://twitter.com/caribbeanchefs/status/1267140325895811072,
884,New York,Sol azteca downtown JC.. they have uber eats.. good and worth the price,2020-05-31 12:03:38+00:00,,https://twitter.com/Simply_Dio/status/1267064191841697793,
885,New York,#FrontLine Workers being terrorized @DoorDash @UberEats #Flatbush,2020-05-31 04:48:37+00:00,#FrontLine #FrontLine #Flatbush,https://twitter.com/CaribbeanBK/status/1266954714987536385,
